ID_ESPACIO,ID_EDIFICIO,ID_UTC,ID_CENTRO,ID_CC,ID_SOROLLA,TIPO_DE_USO,LARGO,ANCHO,DIAGONAL,SUPERFICIE,ALTURA_MAXIMA,ALTURA_MEDIA,VOLUMEN,FALSO_TECHO,NMRO_VENTANAS,PERSIANAS_EXT,ORIENTACION_PRAL,ILUMINACION_ART,NMRO_PUNTOS_LUZ,NMRO_PUNTOS_AGUA,NMRO_PUNTOS_GAS,VITRINAS_RIESGO_BIOLOGICO,VITRINAS_RIESGO_QUIMICO,NMRO_VITRINAS_RB,NMRO_VITRINAS_RQ,PTOS_EXTRACCION_LOCALIZADA,NMRO_PTOS_EXT_LOCALIZ,TIPO_CALEFACCION,TIPO_CLIMATIZACION,ROSETAS_VOZ,ROSETAS_DATOS,CAÑON_FIJO,PANTALLA_PROYECTOR,EQUIPO_DE_SONIDO,TV,VIDEO,DVD,FOTOCOPIADORAS,IMPRESORAS,ORDENADORES,FAXES,TELEFONOS,PIZARRA,NMRO_PLAZAS,CAD_ASOCIADO,OBSERVACIONES,EXTINTORES_DE_POLVO,EXTINTORES_DE_CO2,NMRO_EXTINTORES_POLVO,NMRO_EXTINTORES_CO2,BIES,NMRO_BIES,TIPO_BIES,COLUMNA_SECA,GRUPO_DE_PRESION_INCENDIOS,DETECCION_DE_INCENDIOS,PROTECCION_POR_ROCIADORES,ILUMINACION_DE_EMERGENCIA,POTENCIA_ELECTRICA_INSTALADAW,RESERVABLE
"CRE.1201.01.760","CRE.1201.","01.760","DESPACHO",,6626,17,5.04600000,2.91600000,0.00000000,14.71000000,2.775,2.775,40.82000000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,1,0,1,1,1,,"CPS;",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.770","CRE.1201.","01.770","DESPACHO",,6625,17,5.03700000,2.92700000,0.00000000,14.74000000,2.780,2.780,40.97700000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,"CPS;",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.780","CRE.1201.","01.780","DESPACHO",,6624,17,5.03000000,2.94000000,0.00000000,14.79000000,2.780,2.780,41.11600000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.790","CRE.1201.","01.790","DESPACHO",,6623,17,5.04000000,2.92000000,0.00000000,14.74000000,2.780,2.780,40.97700000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.800","CRE.1201.","01.800","DESPACHO",,6622,17,5.05000000,2.90000000,0.00000000,14.66000000,2.780,2.780,40.75500000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.810","CRE.1201.","01.810","DESPACHO",,6621,17,2.86000000,5.04000000,0.00000000,14.43000000,2.700,2.700,38.96100000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,2,0,1,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.820","CRE.1201.","01.820","DESPACHO",,6620,17,2.85000000,5.04000000,0.00000000,14.39000000,2.770,2.770,39.86000000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.830","CRE.1201.","01.830","DESPACHO",,6619,17,5.00000000,2.91900000,0.00000000,14.68000000,2.770,2.770,40.66400000,1,2,3,6,5,2,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,1,1,0,1,1,2,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CRE.1201.01.850","CRE.1201.","01.850","PASILLO",,0,31,0.00000000,0.00000000,0.00000000,298.32000000,2.790,2.790,832.31300000,1,80,3,6,3,40,0,0,0,0,0,0,0,0,9,5,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,1,0,3,0,1,2,1,0,0,1,0,1,0,0
"CRE.1201.01.860","CRE.1201.","01.860","NAVE 1 - TMA",,6640,26,8.67000000,4.29000000,0.00000000,37.22000000,2.780,2.780,103.47200000,1,2,3,2,5,4,0,0,0,0,0,0,0,0,6,1,,,0,0,0,,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0
